number,aspect_precision,aspect_recall,datetime_start,datetime_complete,duration,params_sub_thr_0,params_sub_thr_1,params_sub_thr_10,params_sub_thr_11,params_sub_thr_12,params_sub_thr_13,params_sub_thr_14,params_sub_thr_15,params_sub_thr_16,params_sub_thr_17,params_sub_thr_18,params_sub_thr_19,params_sub_thr_2,params_sub_thr_20,params_sub_thr_21,params_sub_thr_22,params_sub_thr_23,params_sub_thr_24,params_sub_thr_25,params_sub_thr_26,params_sub_thr_27,params_sub_thr_28,params_sub_thr_3,params_sub_thr_4,params_sub_thr_5,params_sub_thr_6,params_sub_thr_7,params_sub_thr_8,params_sub_thr_9,params_top_thr_0,params_top_thr_1,params_top_thr_2,params_top_thr_3,params_top_thr_4,params_top_thr_5,params_top_thr_6,params_top_thr_7,params_top_thr_8,state
131,0.6923653843269094,0.7562557296672298,2025-12-30 15:09:19.426980,2025-12-30 15:09:19.751380,0 days 00:00:00.324400,0.40797545008597025,0.18512572877236844,0.4346008910049627,0.30943587243762005,0.2358596262820377,0.4997470303981536,0.23341072807119986,0.16713991155434565,0.4080652086623577,0.26395386106662166,0.44556877751641943,0.29754889240283483,0.49827447137649694,0.4159081811624168,0.34611138652927836,0.27149349221757535,0.34055798928068914,0.39714800280456775,0.24555046418350368,0.47494086641971467,0.3518814784995062,0.31545439714374146,0.4285797011425786,0.28572515039996865,0.23329293842415494,0.31226930885758647,0.22806988384893945,0.40348951316978016,0.48034368670120264,0.28974521655930124,0.4062914969308646,0.2783233287381306,0.414023301630064,0.24514448577918485,0.22910448145450624,0.17453491223457857,0.4921051910865488,0.2006357148621823,COMPLETE
156,0.6738770957282084,0.7687816081615682,2025-12-30 15:09:25.649886,2025-12-30 15:09:25.903250,0 days 00:00:00.253364,0.17645906197985922,0.17386517234478094,0.3577308930737539,0.3322359020267242,0.16345199409755315,0.3937882351063881,0.1997162443617947,0.15531207991776558,0.30375785798812216,0.1642839080084168,0.4224321361952589,0.27184352835352105,0.27705045283932117,0.45141268434287707,0.2723381048529321,0.30026958448040975,0.1622062672744493,0.35841563857074954,0.2782684413686023,0.40550152264376244,0.3629867453280657,0.4116839565149734,0.37913806924950577,0.4391670302813001,0.15859303039640466,0.43247685221277105,0.21796839623390266,0.24844829792847392,0.4538861377577151,0.15741168273273892,0.41048419609359943,0.23633956482777252,0.4835994836584406,0.2246829402566939,0.35659643623075643,0.20146548485307503,0.4293894285122619,0.23878433194184723,COMPLETE
173,0.6774132579945691,0.7676460916745846,2025-12-30 15:09:29.949737,2025-12-30 15:09:30.323335,0 days 00:00:00.373598,0.24084866094838744,0.16123121102883958,0.3934950120891939,0.2682164418907125,0.2046584409902661,0.49269554508959607,0.21586022224087092,0.16542919717184223,0.2755918744594843,0.1509370192443061,0.3518378702771945,0.28639231152132294,0.3202881783880281,0.43985132496527174,0.3132878573969619,0.36389228398415724,0.15645939584011373,0.39974072046355813,0.3119971876078358,0.46984388336430905,0.2550519020208469,0.47301395853353934,0.37643187202558537,0.3675308188031915,0.20560085004999254,0.4276911299023419,0.23512092910586424,0.22190609356890637,0.392705327776615,0.19129535930871472,0.37666453010781686,0.27045071672557436,0.4462629012949217,0.21037780734349595,0.3366319929821191,0.21828792138122405,0.47893040500748874,0.24650756886413655,COMPLETE
186,0.658636465155465,0.780543739442159,2025-12-30 15:09:34.022941,2025-12-30 15:09:34.261826,0 days 00:00:00.238885,0.22006218956075427,0.19188998475216412,0.2822696099259777,0.21766395643917485,0.17734591781655548,0.3593894445982189,0.25309794765196386,0.16302554944821188,0.21970713383295493,0.18440745639451964,0.18359378888131217,0.1531192725479315,0.3024361211149242,0.4579172121036745,0.2075581062793447,0.42965777309906505,0.28177049764485645,0.4868080281182364,0.27441018427492414,0.41914981135731316,0.19713242249323482,0.32680790598666326,0.2640342450902967,0.4553557483328103,0.16735062836866713,0.3790684212877587,0.15382079202992388,0.2317137624539302,0.385518673585975,0.15664478253901107,0.15479097526152263,0.232888939830551,0.42570472141464755,0.24474225737332278,0.4586998803090197,0.3276339031188454,0.28492125453747796,0.2025819391589097,COMPLETE
202,0.6590928184880606,0.7797531503731233,2025-12-30 15:09:38.026551,2025-12-30 15:09:38.270750,0 days 00:00:00.244199,0.22930324188875117,0.16317744798603914,0.19087205312706887,0.24517077356079556,0.1566625090308091,0.30657482988855617,0.2053926366478901,0.170993248839709,0.21706780041520696,0.19561045620698944,0.2387278500551518,0.1930699316320323,0.2371759805244587,0.3642025665365825,0.16366779964174843,0.39509807500067035,0.24950351941601928,0.4828219960202719,0.2716771281140692,0.399525643355829,0.18225787152442607,0.25631385371996457,0.2840087442247785,0.4562893391718009,0.2145883896862888,0.3551263622215218,0.20203623040708804,0.1593287589494777,0.3604607913715761,0.1815731070525951,0.26864225912151046,0.23621625701599175,0.4032434804355081,0.22692222267581907,0.4993940829003413,0.2249732746056689,0.19133568281695454,0.1779751100639117,COMPLETE
207,0.6968241552301474,0.7528996465064488,2025-12-30 15:09:39.289738,2025-12-30 15:09:39.535499,0 days 00:00:00.245761,0.34101767871494837,0.17910291776187742,0.3773622143880263,0.3994023691582026,0.35444651637025537,0.44385996100688907,0.28942920784550363,0.15674964070898795,0.42803618389272496,0.2837036682069393,0.4275328840717757,0.3900694758842587,0.48259002530003725,0.3955322423523866,0.29067750781298357,0.3718534452419314,0.3988941545835004,0.4796133429829189,0.2523172157529235,0.4358256633158082,0.359083176984531,0.4646400233548574,0.380878206480621,0.31197598560813616,0.17484687010872366,0.29355949656408414,0.2621459634097856,0.3989764438538482,0.44547595151163805,0.3692603750117434,0.3494647245093872,0.33077137625166986,0.43285185227016454,0.18165368933207704,0.3581843576520257,0.1790079832251873,0.4869403383985005,0.19343097746808768,COMPLETE
220,0.686904773834845,0.7634812629581386,2025-12-30 15:09:42.597317,2025-12-30 15:09:42.982131,0 days 00:00:00.384814,0.35299710130914375,0.1606907833044347,0.30809540236770055,0.25573441732134106,0.37882314153902186,0.41324363636879585,0.32909661085598685,0.18393468740124064,0.3962800545220645,0.18178276602312526,0.4593580382602023,0.3183054896514241,0.45492817449419093,0.39229742809788504,0.2999677151320155,0.3784352474113263,0.2750776687936548,0.4861642385543083,0.21003546268912024,0.45198106901536844,0.28348143691317773,0.39490299090261466,0.33687123041488576,0.32401760486005093,0.162585890099934,0.28550108803859303,0.24252093942117472,0.3307303784712707,0.4674445902529141,0.4125091867657506,0.27328771812647334,0.3684498093391942,0.4136853379189887,0.1653662774062854,0.3321475090801264,0.15005731969000224,0.4421380489643506,0.21698759267415663,COMPLETE
222,0.690599927752361,0.760148437085853,2025-12-30 15:09:43.353074,2025-12-30 15:09:43.723322,0 days 00:00:00.370248,0.2907756258106737,0.17316381079808757,0.2564516263359965,0.270607057846343,0.33018271288715445,0.40134610660984193,0.3653969908413457,0.20120382849951424,0.4803111377255671,0.21711472711290264,0.4400162892629157,0.37031379388946234,0.4791975350594785,0.4498444975168273,0.1771167008998731,0.35026523299790924,0.23373052585134246,0.47307351251600777,0.20400522720137343,0.47932327677588804,0.34756483970363716,0.4857807788997707,0.28175142147016297,0.37807568606721775,0.16232962695545142,0.24624921387520243,0.208998424552281,0.2753175227433871,0.44665935172819515,0.4395686809656543,0.26033340392124626,0.43433363454965884,0.37095750492179524,0.17292646869512096,0.34041024891351496,0.15825251876475444,0.4978372185636465,0.2613671638595432,COMPLETE
296,0.6734534450591613,0.7747013544767717,2025-12-30 15:10:04.202065,2025-12-30 15:10:04.464692,0 days 00:00:00.262627,0.21957855014040917,0.19366260893855475,0.18189744496786836,0.24164270074532695,0.19298219650317167,0.37682619636156556,0.33005044535839734,0.21131058711565034,0.36170617432524893,0.15047266734171708,0.22541301215386067,0.1947837737010123,0.3255171298899038,0.4699332847555047,0.310423688681474,0.36948024421953063,0.16785958723525482,0.39575850055892337,0.24538317976204244,0.4431052867303466,0.19942697545930543,0.47837218061864795,0.33183340156273944,0.4857037846005992,0.15174583400932873,0.46007111169795345,0.2251651060265043,0.19376815494901492,0.37150065067605836,0.1969960277715784,0.22856181358436206,0.18800807278012546,0.42076735866421744,0.188429153663433,0.24591746689126756,0.20983471186315358,0.4365670657497739,0.28280920588737424,COMPLETE
301,0.6791388683769823,0.7663416965231706,2025-12-30 15:10:05.532821,2025-12-30 15:10:05.793266,0 days 00:00:00.260445,0.24154829149710608,0.17593433029663033,0.20901175949266962,0.25581037477059565,0.27154464343802004,0.4127889491220701,0.25420782253521373,0.27980136440884906,0.3542402380994834,0.3024784986145648,0.23764216808733038,0.22740368590621476,0.3377128434457871,0.3813278812283799,0.29963339869332734,0.4354345857506571,0.19387756672068374,0.4488997366871267,0.30826134805073846,0.4404116819705044,0.29543504479367083,0.4237004871709376,0.29947068027341983,0.4468758265333008,0.1984970053651141,0.4217665118968551,0.22192289688144315,0.18482452930106472,0.3976047089109564,0.2109507540507717,0.20618602203519917,0.29187162105266984,0.36914938482131426,0.18025574816180803,0.2465363699560244,0.26233140583250586,0.47745420675887,0.2468392915862179,COMPLETE
